tag_id,species,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,age_group,sex,colony_id,island,capture_date,health_status,study_name,clutch_completion,date_egg
GEN-0010,Gentoo,43.39,13.87,222.3,4904,Adult,,Torgersen North,Torgersen,2020-02-26,Unwell,PAPRI2020,Yes,2020-02-23
GEN-0011,Gentoo,47.54,16.54,215.4,6088,Adult,,Torgersen North,Torgersen,2024-09-04,Healthy,PAPRI2024,Yes,2024-08-28
,Gentoo,44.61,15.97,217.3,4945,Adult,,Biscoe West,Biscoe,2023-06-01,Healthy,PAPRI2023,Yes,2023-05-24
CHN-0005,Chinstrap,48.06,19.64,199.3,2941,Juvenile,,Shortcut Point,Shortcut,2021-03-25,Underweight,PAPRI2021,No,
,Adelie,37.58,19.57,196.8,3597,Adult,,Torgersen North,Torgersen,2020-11-20,Healthy,PAPRI2020,Yes,2020-11-12
CHN-0006,Chinstrap,49.51,16.51,197.2,3632,Adult,Female,Torgersen North,Torgersen,2024-05-25,Healthy,PAPRI2024,Yes,2024-05-13
ADE-0007,Adelie,39.42,17.19,196.9,2972,Juvenile,,Biscoe West,Biscoe,2022-11-03,Underweight,PAPRI2022,Yes,2022-11-02
ADE-0008,Adelie,41.72,19.98,181.0,3590,Adult,Male,Shortcut Point,Shortcut,2024-06-05,Overweight,PAPRI2024,Yes,2024-05-30
ADE-0009,Adelie,39.62,18.79,190.2,3962,Adult,,Torgersen North,Torgersen,2024-07-28,Underweight,PAPRI2024,Yes,2024-07-25
,Gentoo,49.21,16.16,222.7,5261,Adult,,Torgersen North,Torgersen,2022-01-10,Healthy,PAPRI2022,No,
ADE-0010,Adelie,35.69,16.15,191.1,3443,Adult,,Cormorant East,Cormorant,2024-09-09,Healthy,PAPRI2024,Yes,2024-08-26
CHN-0007,Chinstrap,56.44,15.51,200.8,3184,Adult,,Cormorant East,Cormorant,2023-11-14,Underweight,PAPRI2023,Yes,2023-11-02
,Gentoo,44.82,14.4,226.4,5051,Adult,,Torgersen North,Torgersen,2020-12-29,Healthy,PAPRI2020,Yes,2020-12-24
,Chinstrap,46.39,18.85,196.3,3666,Adult,Male,Cormorant East,Cormorant,2021-12-25,Overweight,PAPRI2021,Yes,2021-12-13
,Chinstrap,53.3,19.83,196.1,3841,Adult,,Dream South,Dream,2024-06-23,Healthy,PAPRI2024,Yes,2024-06-22
,Chinstrap,46.62,19.86,190.5,3846,Adult,Male,Torgersen North,Torgersen,2023-02-03,Healthy,PAPRI2023,Yes,2023-01-29
CHN-0008,Chinstrap,46.25,21.0,193.7,3778,Adult,Male,Biscoe West,Biscoe,2021-03-05,Overweight,PAPRI2021,Yes,2021-02-19
GEN-0012,Gentoo,52.8,15.29,209.4,5367,Adult,,Biscoe West,Biscoe,2020-11-07,Healthy,PAPRI2020,No,
CHN-0009,Chinstrap,50.05,21.0,186.7,4075,Adult,Female,Biscoe West,Biscoe,2022-08-04,Overweight,PAPRI2022,Yes,2022-07-29
GEN-0013,Gentoo,51.3,13.95,219.7,4035,Juvenile,Female,Torgersen North,Torgersen,2023-07-19,Healthy,PAPRI2023,Yes,2023-07-10
CHN-0010,Chinstrap,48.74,17.01,186.9,3850,Adult,Male,Dream South,Dream,2022-02-27,Healthy,PAPRI2022,Yes,2022-02-22
,Chinstrap,54.19,16.21,192.9,3742,Adult,,Dream South,Dream,2024-03-13,Healthy,PAPRI2024,Yes,2024-03-11
,Gentoo,47.68,17.62,219.4,5364,Adult,,Torgersen North,Torgersen,2021-08-17,Healthy,PAPRI2021,Yes,2021-08-14
GEN-0014,Gentoo,48.1,14.08,217.4,5088,Adult,Male,Dream South,Dream,2021-02-13,Healthy,PAPRI2021,No,
ADE-0011,Adelie,33.68,20.32,186.0,4333,Adult,,Dream South,Dream,2023-10-11,Overweight,PAPRI2023,Yes,2023-10-08
,Adelie,38.39,19.28,191.8,2500,Chick,,Biscoe West,Biscoe,2024-01-25,Underweight,PAPRI2024,Yes,2024-01-22
ADE-0012,Adelie,41.19,17.7,186.0,3773,Adult,Male,Cormorant East,Cormorant,2024-11-21,Healthy,PAPRI2024,Yes,2024-11-09
CHN-0011,Chinstrap,51.77,18.99,201.7,3901,Adult,,Biscoe West,Biscoe,2023-12-25,Overweight,PAPRI2023,Yes,2023-12-14
GEN-0015,Gentoo,49.16,13.95,206.3,4737,Adult,Male,Dream South,Dream,2023-12-02,Healthy,PAPRI2023,Yes,2023-11-20
ADE-0013,Adelie,40.28,18.1,188.6,3224,Juvenile,,Cormorant East,Cormorant,2022-06-19,Underweight,PAPRI2022,Yes,2022-06-18
GEN-0016,Gentoo,46.28,15.11,217.1,4513,Juvenile,Male,Torgersen North,Torgersen,2020-07-10,Healthy,PAPRI2020,No,
GEN-0017,Gentoo,49.55,14.43,218.9,4701,Adult,Female,Torgersen North,Torgersen,2022-01-29,Overweight,PAPRI2022,No,
GEN-0018,Gentoo,53.24,16.08,206.2,2893,Chick,,Shortcut Point,Shortcut,2022-12-23,Underweight,PAPRI2022,Yes,2022-12-18
,Chinstrap,52.62,19.77,200.4,3901,Adult,,Cormorant East,Cormorant,2022-02-05,Overweight,PAPRI2022,Yes,2022-01-24
,Gentoo,45.4,14.79,204.5,5423,Adult,Female,Cormorant East,Cormorant,2019-11-29,Overweight,PAPRI2019,No,
,Chinstrap,46.08,17.99,198.9,3520,Adult,,Biscoe West,Biscoe,2023-03-28,Healthy,PAPRI2023,Yes,2023-03-19
GEN-0019,Gentoo,46.2,15.04,220.4,3049,Chick,Female,Biscoe West,Biscoe,2020-10-07,Overweight,PAPRI2020,Yes,2020-09-30
CHN-0012,Chinstrap,44.02,16.25,191.0,3450,Adult,Female,Dream South,Dream,2021-02-28,Healthy,PAPRI2021,Yes,2021-02-17
GEN-0020,Gentoo,41.39,16.68,215.2,5248,Adult,Male,Torgersen North,Torgersen,2024-02-16,Healthy,PAPRI2024,Yes,2024-02-16
ADE-0014,Adelie,39.67,17.16,193.4,2621,Chick,Male,Torgersen North,Torgersen,2022-05-27,Underweight,PAPRI2022,No,
,Chinstrap,44.03,17.15,193.6,4039,Adult,Male,Biscoe West,Biscoe,2024-02-09,Overweight,PAPRI2024,No,
,Gentoo,48.17,14.82,217.6,4691,Adult,,Torgersen North,Torgersen,2021-11-07,Healthy,PAPRI2021,No,
,Gentoo,54.33,15.29,214.4,5457,Adult,Female,Biscoe West,Biscoe,2024-07-07,Healthy,PAPRI2024,Yes,2024-06-25
GEN-0021,Gentoo,50.12,15.02,230.0,4443,Adult,Female,Cormorant East,Cormorant,2020-02-19,Healthy,PAPRI2020,Yes,2020-02-06
CHN-0013,Chinstrap,48.28,16.33,203.2,2500,Juvenile,,Cormorant East,Cormorant,2023-04-24,Underweight,PAPRI2023,Yes,2023-04-22
CHN-0014,Chinstrap,49.93,21.0,202.7,3515,Adult,,Torgersen North,Torgersen,2023-03-15,Healthy,PAPRI2023,Yes,2023-03-08
CHN-0015,Chinstrap,51.25,20.86,200.9,3841,Adult,Male,Dream South,Dream,2024-05-28,Healthy,PAPRI2024,No,
ADE-0015,Adelie,41.98,17.7,178.9,4106,Adult,,Cormorant East,Cormorant,2021-08-19,Healthy,PAPRI2021,No,
CHN-0016,Chinstrap,49.71,18.95,178.8,3412,Adult,,Cormorant East,Cormorant,2023-09-06,Underweight,PAPRI2023,Yes,2023-08-29
,Adelie,38.81,18.47,187.1,4081,Adult,Male,Torgersen North,Torgersen,2023-08-15,Healthy,PAPRI2023,Yes,2023-08-08
ADE-0016,Adelie,35.1,19.2,196.9,3330,Juvenile,,Torgersen North,Torgersen,2021-06-19,Healthy,PAPRI2021,Yes,2021-06-11
GEN-0022,Gentoo,48.5,13.9,226.3,5046,Adult,,Dream South,Dream,2021-09-20,Healthy,PAPRI2021,Yes,2021-09-16
ADE-0017,Adelie,39.26,20.13,196.7,3150,Juvenile,Male,Torgersen North,Torgersen,2020-10-27,Healthy,PAPRI2020,Yes,2020-10-16
GEN-0023,Gentoo,49.44,16.44,211.2,5538,Adult,Male,Shortcut Point,Shortcut,2024-06-01,Overweight,PAPRI2024,Yes,2024-05-30
,Chinstrap,43.09,20.81,202.2,3839,Adult,Male,Torgersen North,Torgersen,2022-11-07,Healthy,PAPRI2022,Yes,2022-10-28
,Chinstrap,53.76,18.62,207.4,2500,Chick,Female,Torgersen North,Torgersen,2022-03-21,Underweight,PAPRI2022,No,
CHN-0017,Chinstrap,48.75,19.77,194.0,2500,Chick,Male,Torgersen North,Torgersen,2020-08-06,Underweight,PAPRI2020,No,
ADE-0018,Adelie,33.22,18.27,181.5,3121,Juvenile,,Shortcut Point,Shortcut,2023-02-23,Underweight,PAPRI2023,Yes,2023-02-11
GEN-0024,Gentoo,44.2,15.39,221.5,4640,Adult,Female,Dream South,Dream,2021-06-17,Healthy,PAPRI2021,Yes,2021-06-06
ADE-0019,Adelie,36.14,19.16,186.6,2908,Juvenile,Male,Shortcut Point,Shortcut,2020-08-17,Underweight,PAPRI2020,Yes,2020-08-15
ADE-0020,Adelie,34.93,18.11,190.4,3166,Adult,Male,Dream South,Dream,2021-01-17,Healthy,PAPRI2021,Yes,2021-01-04
CHN-0018,Chinstrap,46.49,18.84,195.2,3049,Juvenile,Male,Torgersen North,Torgersen,2022-02-17,Underweight,PAPRI2022,Yes,2022-02-15
CHN-0019,Chinstrap,46.37,19.43,192.2,2500,Chick,Female,Cormorant East,Cormorant,2023-01-31,Underweight,PAPRI2023,Yes,2023-01-27
CHN-0020,Chinstrap,43.8,20.69,207.5,3620,Adult,,Torgersen North,Torgersen,2021-04-10,Healthy,PAPRI2021,Yes,2021-04-09
,Gentoo,50.05,13.61,217.2,5118,Adult,Female,Torgersen North,Torgersen,2019-11-22,Healthy,PAPRI2019,Yes,2019-11-09
GEN-0025,Gentoo,47.12,13.65,207.4,3049,Chick,,Biscoe West,Biscoe,2024-05-09,Underweight,PAPRI2024,Yes,2024-04-27
ADE-0021,Adelie,38.3,18.33,183.1,3504,Adult,,Dream South,Dream,2020-10-06,Healthy,PAPRI2020,Yes,2020-09-23
CHN-0021,Chinstrap,54.37,19.91,195.9,3965,Adult,Female,Shortcut Point,Shortcut,2023-07-04,Overweight,PAPRI2023,Yes,2023-06-28
GEN-0026,Gentoo,54.62,16.02,214.4,5914,Adult,Male,Dream South,Dream,2022-04-19,Healthy,PAPRI2022,Yes,2022-04-18
CHN-0022,Chinstrap,45.91,16.29,202.5,4095,Adult,Female,Cormorant East,Cormorant,2022-01-24,Healthy,PAPRI2022,Yes,2022-01-17
,Gentoo,47.58,14.95,214.8,3090,Chick,Male,Dream South,Dream,2024-12-12,Underweight,PAPRI2024,Yes,2024-12-05
ADE-0022,Adelie,37.04,17.67,186.1,3441,Adult,,Torgersen North,Torgersen,2023-09-23,Healthy,PAPRI2023,Yes,2023-09-15
CHN-0023,Chinstrap,40.54,19.6,198.7,3673,Adult,,Torgersen North,Torgersen,2022-05-03,Healthy,PAPRI2022,No,
,Chinstrap,46.9,19.71,199.5,2710,Juvenile,,Shortcut Point,Shortcut,2022-01-28,Underweight,PAPRI2022,No,
CHN-0024,Chinstrap,55.54,21.0,202.5,3456,Adult,,Biscoe West,Biscoe,2022-08-06,Underweight,PAPRI2022,Yes,2022-08-05
,Chinstrap,46.28,15.61,184.6,3530,Adult,Female,Cormorant East,Cormorant,2024-05-07,Healthy,PAPRI2024,Yes,2024-04-28
,Gentoo,42.93,15.76,210.2,4086,Juvenile,,Dream South,Dream,2021-09-06,Healthy,PAPRI2021,Yes,2021-08-31
CHN-0025,Chinstrap,46.65,18.58,190.0,3577,Adult,,Shortcut Point,Shortcut,2021-02-01,Underweight,PAPRI2021,Yes,2021-01-20
,Chinstrap,46.81,19.72,203.7,3947,Adult,,Torgersen North,Torgersen,2024-04-18,Healthy,PAPRI2024,Yes,2024-04-06
,Gentoo,40.09,13.84,220.5,4673,Adult,Female,Shortcut Point,Shortcut,2024-08-16,Healthy,PAPRI2024,No,
,Gentoo,48.01,14.91,219.9,3548,Chick,Male,Shortcut Point,Shortcut,2020-03-02,Underweight,PAPRI2020,No,
GEN-0027,Gentoo,48.51,14.31,214.1,4827,Adult,,Biscoe West,Biscoe,2024-07-11,Healthy,PAPRI2024,Yes,2024-07-06
GEN-0028,Gentoo,49.13,16.04,203.8,5144,Adult,,Biscoe West,Biscoe,2019-12-13,Healthy,PAPRI2019,No,
,Chinstrap,52.76,17.85,181.7,3546,Adult,Male,Shortcut Point,Shortcut,2024-01-05,Underweight,PAPRI2024,Yes,2023-12-29
ADE-0023,Adelie,41.64,17.13,179.7,3890,Adult,Male,Biscoe West,Biscoe,2021-05-23,Healthy,PAPRI2021,Yes,2021-05-20
GEN-0029,Gentoo,49.99,13.0,218.4,5574,Adult,Male,Dream South,Dream,2020-03-10,Healthy,PAPRI2020,Yes,2020-02-29
ADE-0024,Adelie,39.25,19.25,184.3,3401,Adult,Female,Dream South,Dream,2022-04-29,Healthy,PAPRI2022,Yes,2022-04-17
CHN-0026,Chinstrap,50.89,21.0,197.3,3590,Adult,Female,Shortcut Point,Shortcut,2021-09-07,Underweight,PAPRI2021,Yes,2021-09-01
GEN-0030,Gentoo,44.23,13.82,226.1,4903,Adult,Female,Torgersen North,Torgersen,2024-07-13,Healthy,PAPRI2024,No,
,Chinstrap,52.22,17.68,194.1,3217,Adult,Female,Biscoe West,Biscoe,2021-04-15,Unwell,PAPRI2021,Yes,2021-04-04
CHN-0027,Chinstrap,47.39,17.62,202.7,4012,Adult,,Cormorant East,Cormorant,2021-01-14,Overweight,PAPRI2021,Yes,2021-01-04
ADE-0025,Adelie,39.92,21.0,185.0,3327,Adult,,Biscoe West,Biscoe,2023-06-12,Healthy,PAPRI2023,Yes,2023-06-11
,Gentoo,48.01,15.8,211.7,3867,Adult,Female,Biscoe West,Biscoe,2023-11-08,Underweight,PAPRI2023,No,
GEN-0031,Gentoo,48.34,13.45,230.0,4041,Juvenile,,Dream South,Dream,2024-08-29,Healthy,PAPRI2024,Yes,2024-08-15
CHN-0028,Chinstrap,54.68,19.44,197.5,3073,Juvenile,,Cormorant East,Cormorant,2022-06-13,Underweight,PAPRI2022,Yes,2022-05-31
,Chinstrap,55.01,20.65,207.2,3713,Adult,Male,Cormorant East,Cormorant,2024-07-27,Overweight,PAPRI2024,No,
,Gentoo,47.23,15.74,230.0,5470,Adult,Male,Dream South,Dream,2022-04-19,Healthy,PAPRI2022,Yes,2022-04-15
,Gentoo,47.03,14.29,210.9,4555,Adult,Male,Dream South,Dream,2022-05-23,Underweight,PAPRI2022,Yes,2022-05-20
GEN-0032,Gentoo,46.81,15.55,224.6,4673,Adult,,Torgersen North,Torgersen,2021-06-10,Healthy,PAPRI2021,Yes,2021-06-10
,Adelie,38.1,16.15,188.4,3799,Adult,Male,Dream South,Dream,2021-12-04,Healthy,PAPRI2021,Yes,2021-11-23
,Gentoo,49.91,14.61,223.5,4262,Adult,,Shortcut Point,Shortcut,2020-08-12,Underweight,PAPRI2020,Yes,2020-07-30
,Chinstrap,47.91,16.73,214.0,3533,Adult,Female,Biscoe West,Biscoe,2020-12-18,Healthy,PAPRI2020,Yes,2020-12-05
CHN-0029,Chinstrap,46.22,19.58,195.2,3750,Adult,,Torgersen North,Torgersen,2023-05-13,Healthy,PAPRI2023,Yes,2023-05-10
,Adelie,38.71,17.58,185.4,3919,Adult,Male,Shortcut Point,Shortcut,2023-05-07,Overweight,PAPRI2023,Yes,2023-05-07
CHN-0030,Chinstrap,53.38,14.25,181.5,2642,Juvenile,,Torgersen North,Torgersen,2020-02-18,Underweight,PAPRI2020,Yes,2020-02-09
ADE-0026,Adelie,37.87,17.84,180.9,2773,Juvenile,,Cormorant East,Cormorant,2024-03-03,Underweight,PAPRI2024,Yes,2024-02-19
ADE-0027,Adelie,37.82,18.3,193.2,3468,Adult,,Shortcut Point,Shortcut,2020-05-13,Underweight,PAPRI2020,Yes,2020-05-13
CHN-0031,Chinstrap,51.18,16.69,192.3,3240,Juvenile,Male,Cormorant East,Cormorant,2021-03-27,Overweight,PAPRI2021,Yes,2021-03-16
ADE-0028,Adelie,37.85,18.06,195.3,3418,Adult,,Dream South,Dream,2020-05-11,Healthy,PAPRI2020,Yes,2020-05-02
,Adelie,37.83,20.14,183.0,3885,Adult,,Biscoe West,Biscoe,2021-06-09,Healthy,PAPRI2021,Yes,2021-06-09
CHN-0032,Chinstrap,43.29,21.0,187.3,3267,Adult,Female,Cormorant East,Cormorant,2020-02-28,Underweight,PAPRI2020,Yes,2020-02-26
,Adelie,34.6,19.31,181.7,4226,Adult,,Torgersen North,Torgersen,2023-09-28,Healthy,PAPRI2023,Yes,2023-09-20
,Chinstrap,43.01,17.63,202.8,3875,Adult,Male,Dream South,Dream,2024-07-12,Healthy,PAPRI2024,Yes,2024-07-04
GEN-0033,Gentoo,46.41,14.73,218.8,4316,Adult,,Cormorant East,Cormorant,2022-01-25,Healthy,PAPRI2022,Yes,2022-01-19
,Gentoo,45.63,14.3,209.3,5040,Adult,,Torgersen North,Torgersen,2021-11-05,Healthy,PAPRI2021,Yes,2021-10-29
ADE-0029,Adelie,39.33,16.93,192.7,2500,Chick,Female,Torgersen North,Torgersen,2024-04-19,Underweight,PAPRI2024,Yes,2024-04-11
GEN-0034,Gentoo,46.09,15.43,226.7,4277,Juvenile,Female,Dream South,Dream,2024-08-12,Healthy,PAPRI2024,Yes,2024-08-08
GEN-0035,Gentoo,41.98,13.26,213.3,4008,Juvenile,,Dream South,Dream,2020-08-12,Healthy,PAPRI2020,Yes,2020-08-11
CHN-0033,Chinstrap,47.65,18.82,186.0,3886,Adult,,Cormorant East,Cormorant,2022-12-19,Overweight,PAPRI2022,Yes,2022-12-11
,Gentoo,44.73,13.18,211.1,5150,Adult,Female,Biscoe West,Biscoe,2019-11-29,Healthy,PAPRI2019,Yes,2019-11-25
CHN-0034,Chinstrap,55.67,18.01,196.7,2856,Juvenile,Female,Dream South,Dream,2020-02-20,Underweight,PAPRI2020,Yes,2020-02-20
,Adelie,37.25,18.58,206.6,2790,Juvenile,Female,Biscoe West,Biscoe,2020-08-18,Underweight,PAPRI2020,Yes,2020-08-06
GEN-0036,Gentoo,46.44,15.09,218.1,5109,Adult,Male,Biscoe West,Biscoe,2023-07-12,Healthy,PAPRI2023,Yes,2023-07-06
CHN-0035,Chinstrap,46.73,21.0,201.0,3696,Adult,Male,Biscoe West,Biscoe,2021-09-06,Healthy,PAPRI2021,Yes,2021-08-27
GEN-0037,Gentoo,44.24,15.92,206.4,5185,Adult,Female,Dream South,Dream,2023-02-09,Critically Ill,PAPRI2023,Yes,2023-02-06
ADE-0030,Adelie,38.6,19.33,191.2,2508,Juvenile,Female,Cormorant East,Cormorant,2023-12-08,Underweight,PAPRI2023,Yes,2023-11-30
,Gentoo,49.95,15.54,224.7,5425,Adult,,Torgersen North,Torgersen,2021-09-25,Healthy,PAPRI2021,No,
CHN-0036,Chinstrap,48.57,15.84,199.0,3766,Adult,,Torgersen North,Torgersen,2022-12-23,Healthy,PAPRI2022,Yes,2022-12-13
CHN-0037,Chinstrap,51.5,18.71,199.1,3632,Adult,,Torgersen North,Torgersen,2020-09-16,Healthy,PAPRI2020,No,
GEN-0038,Gentoo,47.38,15.62,217.2,3007,Chick,,Shortcut Point,Shortcut,2021-02-10,Underweight,PAPRI2021,Yes,2021-02-09
CHN-0038,Chinstrap,44.16,19.3,188.7,4314,Adult,Male,Cormorant East,Cormorant,2020-03-05,Overweight,PAPRI2020,Yes,2020-02-26
ADE-0031,Adelie,38.3,17.74,199.4,3759,Adult,,Shortcut Point,Shortcut,2024-05-04,Overweight,PAPRI2024,Yes,2024-05-03
ADE-0032,Adelie,41.14,18.82,181.2,3256,Juvenile,Male,Torgersen North,Torgersen,2020-09-27,Healthy,PAPRI2020,Yes,2020-09-20
,Gentoo,47.75,16.08,213.9,5564,Adult,,Cormorant East,Cormorant,2022-11-30,Overweight,PAPRI2022,Yes,2022-11-25
GEN-0039,Gentoo,50.26,15.18,206.9,4082,Adult,Female,Dream South,Dream,2024-03-18,Healthy,PAPRI2024,Yes,2024-03-10
,Adelie,37.67,17.98,181.3,3253,Adult,Female,Dream South,Dream,2020-03-06,Healthy,PAPRI2020,Yes,2020-03-05
GEN-0040,Gentoo,41.7,13.35,210.6,5273,Adult,,Biscoe West,Biscoe,2024-03-09,Healthy,PAPRI2024,No,
,Gentoo,50.45,14.54,216.7,5533,Adult,Male,Biscoe West,Biscoe,2020-02-04,Healthy,PAPRI2020,Yes,2020-01-22
CHN-0039,Chinstrap,52.65,21.0,185.0,2500,Chick,,Shortcut Point,Shortcut,2019-12-20,Underweight,PAPRI2019,Yes,2019-12-13
GEN-0041,Gentoo,45.63,14.13,213.2,4161,Juvenile,Female,Dream South,Dream,2021-12-02,Healthy,PAPRI2021,Yes,2021-11-23
ADE-0033,Adelie,37.79,16.64,195.2,4215,Adult,Male,Cormorant East,Cormorant,2022-11-16,Overweight,PAPRI2022,Yes,2022-11-05
,Gentoo,45.84,15.56,218.2,4613,Adult,Male,Shortcut Point,Shortcut,2023-01-06,Healthy,PAPRI2023,Yes,2023-01-02
GEN-0042,Gentoo,44.98,15.0,214.8,5234,Adult,,Biscoe West,Biscoe,2020-03-22,Healthy,PAPRI2020,Yes,2020-03-10
,Chinstrap,49.74,19.04,200.6,4343,Adult,,Cormorant East,Cormorant,2023-11-22,Overweight,PAPRI2023,Yes,2023-11-21
GEN-0043,Gentoo,42.25,13.29,222.3,4389,Adult,Female,Biscoe West,Biscoe,2020-10-04,Healthy,PAPRI2020,Yes,2020-09-22
CHN-0040,Chinstrap,47.09,18.86,195.9,3876,Adult,Female,Torgersen North,Torgersen,2024-06-25,Healthy,PAPRI2024,Yes,2024-06-17
GEN-0044,Gentoo,51.12,15.21,224.9,2865,Chick,Male,Cormorant East,Cormorant,2023-02-05,Underweight,PAPRI2023,Yes,2023-01-23
,Gentoo,49.25,14.37,220.5,5171,Adult,Female,Cormorant East,Cormorant,2019-12-29,Healthy,PAPRI2019,No,
CHN-0041,Chinstrap,50.14,19.64,199.5,3974,Adult,,Biscoe West,Biscoe,2021-01-22,Overweight,PAPRI2021,Yes,2021-01-10
CHN-0042,Chinstrap,53.36,19.54,194.8,2998,Juvenile,,Shortcut Point,Shortcut,2022-12-12,Underweight,PAPRI2022,Yes,2022-12-08
,Chinstrap,46.52,19.29,198.9,4020,Adult,Male,Dream South,Dream,2024-03-28,Healthy,PAPRI2024,Yes,2024-03-28
