tag_id,species,bill length (mm),bill depth (mm),flipper_length_mm,body_mass_g,age_group,sex,colony_id,island,capture_date,health_status,study_name,clutch_completion,date_egg
CHN-0012,Chinstrap,44.02,16.25,170.0,3450.0,Adult,Female,Dream South,Dream,2021-02-28,Healthy,PAPRI2021,Yes,2021-02-17
GEN-0020,Gentto,41.39,16.68,,5248.0,Adult,Male,Torgersen North,Torgersen,2024-02-16,Healthy,PAPRI2024,Yes,2024-02-16
ADE-0014,,39.67,17.16,193.4,2621.0,Chick,M,Torgersen North,Torgersen,,Underweight,PAPRI2022,No,
,Chinstrap,44.03,17.15,193.6,4039.0,Adult,Male,Biscoe West,Biscoe,2024-02-09,Overweight,PAPRI2024,No,
,Gentoo,48.17,14.82,217.6,4691.0,Adult,,Torgersen North,dreamland,2021-11-07,Healthy,PAPRI2021,No,
,Gentoo,54.33,15.29,214.4,5457.0,Adult,Female,,,2024-07-07,Healthy,PAPRI2024,,2024-06-25
GEN-0021,Gentoo,50.12,15.49,230.0,4443.0,Adult,Female,Cormorant East,Cormorant,2024-04-08,Healthy,PAPRI2020,Yes,2020-02-06
CHN-0013,Chinstrap,48.28,16.33,203.2,,Juvenile,,,Cormorant,2023-04-24,Underweight,PAPRI2023,Yes,2023-04-22
CHN-0014,Chinstrap,,21.0,202.7,3515.0,Adult,,Torgersen North,Torgersen,25-02-2022,Healthy,PAPRI2023,Yes,2023-03-08
CHN-0015,Chinstrap,51.25,20.86,200.9,2500.0,Adult,Male,Dream South,Dream,2024-05-28,Healthy,PP2020,No,
ADE-0015,Adelie,41.98,17.7,178.9,4106.0,Adult,,Cormorant East,Cormorant,2021-08-19,Healthy,,No,
CHN-0016,Chinstrap,52.79,18.95,178.8,2503.963950376362,Adult,,biscoe 2,,2023-09-06,Underweight,PAPRI2023,Yes,2023-08-29
,Adelie,38.81,18.47,187.1,4081.0,Adult,Male,Torgersen North,Torgersen,2023-08-15,Healthy,PAPRI2023,Yes,2023-08-08
ADE-0016,Adelie,35.1,19.2,196.9,3330.0,Juvenile,,Torgersen North,Torgersen,2021-06-19,Healthy,PAPRI2021,Yes,2021-06-11
GEN-0022,,48.15,13.9,226.3,5046.0,Adult,,Dream South,Dream,2024-13-15,Healthy,PAPRI2021,Yes,2021-09-16
ADE-0017,Adelie,39.26,20.13,196.7,,Juvenile,Male,Torgersen North,Torgersen,2020-10-27,Healthy,PAPRI2020,Yes,2020-10-16
GEN-0023,Gentoo,52.22,16.44,211.2,,Adult,Male,Shortcut Point,Shortcut,2024-06-01,Overweight,PAPRI2024,Yes,2024-05-30
,Chinstrap,43.09,20.81,202.2,3839.0,Adult,,Torgersen North,Torgersen,2022-11-07,Healthy,PAPRI2022,Yes,2022-10-28
,Chinstrap,54.46,18.72,192.61,3858.2201128413594,Chick,Female,Torgersen North,Torgersen,2022-03-21,Underweight,PAPR12021,No,
CHN-0017,Chinstrap,48.75,19.77,194.0,2500.0,Chick,Male,Torgersen North,Torgersen,2020-08-06,Underweight,PAPRI2020,No,
ADE-0018,Adelie,33.22,18.27,181.5,3121.0,Juvenile,,,Shortcut,2023-02-23,Underweight,PAPRI2023,,2023-02-11
GEN-0024,Gentoo,44.2,15.39,221.5,4640.0,Adult,M,Dream South,cormor,2021-06-17,Healthy,PAPRI2021,,2021-06-06
ADE-0019,,41.19,19.16,186.6,2908.0,Juvenile,Male,Shortcut Point,Shortcut,2020-08-17,Underweight,PAPRI2020,Yes,2020-08-15
ADE-0020,Adelie,34.93,18.11,190.4,2597.1653709303077,Adult,Male,Dream South,Dream,2024-05-24,Healthy,,Yes,2021-01-04
CHN-0018,Chinstrap,42.2,18.84,195.2,3049.0,Juvenile,Male,Torgersen North,Torgersen,2022-02-17,Underweight,PAPRI2022,Yes,2022-02-15
CHN-0019,Chinstrap,56.02,19.43,192.2,2500.0,Adult,Female,,,2023-01-31,Critically Ill,PAPRI2023,Yes,2023-01-27
,,43.8,20.69,207.5,3620.0,Adult,,Torgersen North,Torgersen,2021-04-10,Healthy,STUDY_2022,Yes,2021-04-09
,Gentoo,55.74,13.61,208.09,5118.0,Adult,Female,Cormorant,,2019-11-22,Healthy,PAPRI2019,Yes,2019-11-09
GEN-0025,Gentoo,47.12,13.65,217.34,2500.0,Chick,,Biscoe West,Biscoe,2024-05-09,Underweight,,Yes,2024-04-27
ADE-0021,Adelie,38.3,16.42,183.1,,Adult,,Dream South,Dream,2020-10-06,Healthy,STUDY_2022,Yes,2020-09-23
CHN-0021,Chinstrap,54.37,19.91,195.9,3965.0,Adult,Female,Shortcut Point,Shortcut,2023-07-04,Overweight,PAPRI2023,Yes,2023-06-28
GEN-0026,Gentoo,54.62,16.02,214.4,5914.0,Adult,Male,Dream South,,2022-04-19,Healthy,PAPRI2022,Yes,2022-04-18
CHN-0022,Chinstrap,45.91,16.29,202.5,4095.0,Adult,Female,Cormorant East,Cormorant,2022-01-24,Healthy,,Yes,2022-01-17
,Gentoo,47.58,15.57,214.8,3090.0,Chick,Male,Dream South,Dream,2024-12-12,Underweight,PAPRI2024,,2024-12-05
ADE-0022,Adelie,,17.67,186.1,3441.0,Adult,,Torgersen North,,2023-09-23,Healthy,,Yes,2023-09-15
CHN-0023,Chinstrap,40.54,19.6,198.7,3673.0,Adult,,Torgersen North,Torgersen,2022-05-03,Healthy,N/A,No,
,Chinstrap,43.49,19.71,199.5,2710.0,Juvenile,,Shortcut Point,Shortcut,2022-01-28,Underweight,PAPRI2022,No,
CHN-0024,Chinstrap,55.54,21.0,197.63,3456.0,Adult,F,Biscoe West,Biscoe,2022-08-06,Underweight,PAPRI2022,Yes,2022-08-05
,Chinstrap,46.28,15.61,184.6,,Adult,Female,Cormorant East,,2024-05-07,Healthy,PAPRI2024,Yes,2024-04-28
,Gentoo,42.93,15.76,210.2,4086.0,Juvenile,,Dream South,Dream,,Healthy,PAPRI2021,Yes,2021-08-31
CHN-0025,Chinstrap,46.65,18.58,190.0,3577.0,Adult,,biscoe 2,Shortcut,2024-00-19,Underweight,PAPRI2021,Yes,2021-01-20
,Chinstrap,,19.72,203.7,,Adult,, short point,Torgersen,,under weight,PAPRI2024,Yes,2024-04-06
,Gentoo,40.09,13.84,220.5,4673.0,Adult,Female,Shortcut Point,Shortcut,2024-08-16,,PAPRI2024,No,
,Gentoo,48.01,14.91,219.9,3548.0,Chick,Male,Shortcut Point,,2020-03-02,Underweight,PAPRI2020,No,
GEN-0027,Gentoo,48.51,14.31,214.1,,Adult,,Biscoe West,Biscoe,2024-07-11,N/A,PAPRI2024,Yes,2024-07-06
GEN-0028,Gentoo,49.13,16.04,,5144.0,Adult,,Biscoe West,Biscoe,2019-12-13,Critically Ill,PAPRI2019,No,
,Chinstrap,52.76,17.85,181.7,3546.0,Adult,Male,Torgersen,Shortcut,2024-01-05,Underweight,PAPRI2024,Yes,2023-12-29
ADE-0023,Adelie,41.64,17.13,179.7,3890.0,Adult,Male,Biscoe West,Biscoe,2021-05-23,Healthy,PAPRI2021,Yes,2021-05-20
GEN-0029,Gentoo,49.99,13.0,218.4,5574.0,Adult,Male,torgersen SE,,2020-03-10,,PAPRI2020,Yes,2020-02-29
ADE-0024,Adelie,39.25,19.25,184.3,3401.0,Adult,Female,Dream South,Dream,2022-04-29,Healthy,PAPRI2022,Yes,2022-04-17
CHN-0026,Chinstrap,46.21,21.0,207.19,3932.816896300722,Adult,Female,Shortcut Point,Shortcut,2021-09-07,Underweight,PAPRI2021,Yes,2021-09-01
GEN-0030,Gentoo,44.23,13.82,226.1,3776.2788037227256,Adult,Female,Torgersen North,Torgersen,2024-07-13,Healthy,PAPRI2024,No,
,Chinstrap,52.22,17.68,194.1,3217.0,Adult,Female,Biscoe West,Biscoe,2021-04-15,Unwell,PAPRI2021,Yes,2021-04-04
CHN-0027,Chinstrap,47.39,17.62,202.7,4160.818973864057,Adult,,Dream Island,Cormorant,2021-01-14,Overweight,PAPRI2021,Yes,2021-01-04
,Adelie,40.62,21.0,185.0,3327.0,Adult,,Biscoe West,Biscoe,2023-06-12,Healthy,PAPRI2023,Yes,2023-06-11
,Gentoo,48.01,15.8,211.7,3867.0,unk,Female,,Biscoe,2023-11-08,Underweight,PAPRI2023,No,
GEN-0031,Gentoo,48.34,13.45,230.0,,Juvenile,,Dream South,Dream,2024-08-29,Healthy,PAPRI2024,Yes,2024-08-15
CHN-0028,Chinstrap,54.68,21.0,197.5,3073.0,Juvenile,,Cormorant East,Cormorant,2022-06-13,Underweight,,Yes,2022-05-31
,Chinstrap,55.01,20.19,207.2,3713.0,Adult,Male,Cormorant East,Cormorant,2024-07-27,Overweight,PAPRI2024,No,
,Gentoo,47.23,15.74,230.0,,ADLT,Male,Dream South,Dream,2022-04-19,Healthy,PAPRI2022,Yes,2022-04-15
,Gentoo,47.03,,210.9,4555.0,Adult,Male,Dream South,Dream,2022-05-23,Underweight,PAPRI20X9,Yes,2022-05-20
GEN-0032,Gentoo,46.81,,224.6,3609.9348992387995,Adult,,Torgersen North,Torgersen,2021-06-10,ok,PAPRI2021,Yes,2021-06-10
,Adelie,38.1,16.15,188.4,3799.0,Adult,Male,Dream South,Dream,2021-12-04,Healthy,PAPR12021,Yes,2021-11-23
,Gentoo,49.91,14.61,,4262.0,Adult,,Shortcut Point,Shortcut,,Underweight,PAPRI2020,Yes,2020-07-30
,Chinstrap,,16.73,214.0,3533.0,,Female,Biscoe West,Biscoe,01-03-2023,,PAPRI2020,Yes,2020-12-05
CHN-0029,Chinstrap,46.22,20.68,195.2,3750.0,Adult,,Torgersen North,Torgersen,2023-05-13,Healthy,PAPRI2023,Yes,2023-05-10
,Adelie,33.49,17.58,185.4,3284.91,Adult,Male,Shortcut Point,Shortcut,2023-05-07,Overweight,PAPRI2023,Yes,2023-05-07
CHN-0030,Chinstrap,53.38,14.25,181.5,2843.7204149815757,Juvenile,,Torgersen North,Torgersen,2020-02-18,under weight,PAPRI2020,Yes,2020-02-09
ADE-0026,Adelie,37.87,17.84,180.9,2773.0,Juvenile,,Cormorant East,Cormorant,2024-03-03,,PAPRI2024,Yes,2024-02-19
ADE-0027,Adelie,37.82,18.39,193.2,3468.0,Adult,,Shortcut Point,Shortcut,2020-05-13,Underweight,PAPRI2020,Yes,2020-05-13
CHN-0031,Chinstrap,49.92,,192.3,3240.0,Juvenile,Male,Cormorant East,Cormorant,2021-03-27,Overweight,PAPRI2021,Yes,2021-03-16
ADE-0028,Adelie,37.85,18.06,195.3,3418.0,Adult,,Dream South,Dream,2020-05-11,Healthy,PAPRI2020,Yes,2020-05-02
,Adelie,43.94,,170.0,3885.0,Adult,,Biscoe West,Biscoe,2021-06-09,Healthy,PAPRI2021,Yes,2021-06-09
CHN-0032,Chinstrap,43.29,21.0,187.3,3267.0,Adult,Female,Biscoe,Cormorant,,,PAPRI2020,Yes,2020-02-26
,Adelie,,19.31,181.7,4226.0,Adult,,Torgersen North,cormor,2023-09-28,Healthy,PAPRI2023,Yes,2023-09-20
,Chinstrap,43.01,17.63,202.8,3875.0,Chick,Male,Unknown,,2024-07-12,Healthy,PAPRI2024,Yes,2024-07-04
,Gentoo,46.41,14.73,218.8,3659.8649709823567,Adult,,Cormorant East,Cormorant,2022-01-25,Healthy,PAPRI2022,Yes,2022-01-19
,Gentoo,46.63,14.3,209.3,5040.0,Adult,,Torgersen North,,2021-11-05,Healthy,PAPRI2021,Yes,2021-10-29
ADE-0029,Adelie,39.33,16.93,192.7,2500.0,Chick,Female,Torgersen North,,2024-04-19,N/A,,Yes,2024-04-11
GEN-0034,Gentto,46.09,,222.42,4277.0,Juvenile,Female,Dream South,Dream,2024-13-26,,PAPRI2024,Yes,2024-08-08
GEN-0035,Gentoo,41.98,13.26,213.3,5697.91375493618,Juvenile,,Dream South,Dream,2020-08-12,,PAPRI2020,Yes,2020-08-11
CHN-0033,,47.65,18.82,,3886.0,Adult,,Cormorant East,,2022-12-19,Overweight,PAPRI2022,Yes,2022-12-11
,Gentoo,44.73,,211.1,5150.0,Adult,Female,Biscoe West,Biscoe,2019-11-29,Healthy,,Yes,2019-11-25
CHN-0034,Chinstrap,55.67,18.01,196.7,2856.0,Juvenile,Female,Dream South,Dream,,Underweight,PAPRI2020,Yes,2020-02-20
,Adelie,37.25,,206.6,2790.0,Juvenile,Female,dream island,Biscoe,02-09-2023,Underweight,,Yes,2020-08-06
GEN-0036,Gentoo,46.44,15.09,218.1,5109.0,Adult,Male,,Biscoe,2023-07-12,Healthy,PAPRI2023,Yes,2023-07-06
CHN-0035,Chinstrap,58.47,,201.0,3696.0,Adult,Male,Biscoe West,Biscoe,2021-09-06,Healthy,,Yes,2021-08-27
GEN-0037,Gentoo,44.24,15.92,,5185.0,Adult,Female,Dream South,Dream,2023-02-09,Critically Ill,PP2020,Yes,2023-02-06
ADE-0030,Adelie,38.6,19.33,191.2,2508.0,Juvenile,Female,Cormorant East,,2023-12-08,,PAPRI2023,Yes,2023-11-30
,Gentoo,49.95,13.46,224.7,,Adult,,Torgersen North,Torgersen,2021-09-25,Healthy,PAPRI2021,No,
CHN-0036,Chinstrap,48.57,15.84,199.0,3766.0,Adult,,Torgersen North,Torgersen,2022-12-23,Healthy,PAPRI2022,Yes,2022-12-13
CHN-0037,Chinstrap,51.5,18.71,199.1,3632.0,Adult,,Torgersen North,Torgersen,2020-09-16,Healthy,PAPRI2020,No,
GEN-0038,Gentoo,47.38,15.62,,,Chick,,Shortcut Point,Shortcut,2021-02-10,Underweight,,Yes,2021-02-09
,Chinstrap,44.16,19.3,188.7,4314.0,Adult,Male,Cormorant East,Cormorant,,Overweight,PAPRI2020,Yes,2020-02-26
ADE-0031,Adelie,38.3,17.74,199.4,3759.0,Adult,,Shortcut Point,Shortcut,2024-05-04,,PAPRI2024,Yes,2024-05-03
ADE-0032,adeleie,41.14,18.82,181.2,3256.0,Juvenile,Male,Torgersen North,Torgersen,2020-09-27,Healthy,PAPRI2020,Yes,2020-09-20
,Gentoo,47.75,16.08,213.9,5564.0,Adult,,Cormorant East,dreamland,2022-11-30,,PAPRI2022,,2022-11-25
GEN-0039,Gentto,50.26,15.18,206.9,4082.0,Adult,Female,Dream South,Dream,,Healthy,PAPRI2024,Yes,2024-03-10
,Adelie,37.67,17.98,181.3,3264.23,Adult,N/A,Dream South,Dream,2020-03-06,N/A,PAPRI2020,Yes,2020-03-05
,Gentoo,41.7,13.35,,5273.0,Adult,,Biscoe West,Biscoe,202-02-28,,PAPRI2024,No,
,Gentoo,50.45,,216.7,5533.0,Adult,Male,Biscoe West,Biscoe,2020-02-04,Healthy,PAPRI2020,Yes,2020-01-22
CHN-0039,Chinstrap,52.65,21.0,185.0,2500.0,Chick,,Shortcut Point,Shortcut,2019-12-20,N/A,PAPRI2019,Yes,2019-12-13
GEN-0041,Gentoo,45.63,14.13,213.2,7000.0,Juvenile,Female,Dream South,Dream,2021-12-02,Healthy,PAPRI2021,,2021-11-23
ADE-0033,Adelie,37.79,16.64,195.2,4215.0,Adult,Male,Cormorant East,Cormorant,2022-11-16,Overweight,PAPRI2022,Yes,2022-11-05
,Gentoo,,15.56,,4613.0,Adult,Male,Shortcut Point,Shortcut,2023-01-06,Healthy,,Yes,2023-01-02
GEN-0042,Gentoo,44.98,15.0,214.8,5234.0,Adult,,dream island,Biscoe,2020-03-22,Healthy,,Yes,2020-03-10
,Chinstrap,49.74,19.04,200.6,,Adult,,Cormorant East,Cormorant,2023-11-22,Overweight,PAPRI2023,Yes,2023-11-21
GEN-0043,Gentoo,42.25,13.29,222.3,4389.0,Adult,Female,Biscoe West,Biscoe,2020-10-04,Healthy,PAPRI2020,Yes,2020-09-22
CHN-0040,Chinstrap,47.09,18.86,210.08,3876.0,Adult,Female,Torgersen North,Torgersen,2024-06-25,Healthy,PAPRI2024,Yes,2024-06-17
GEN-0044,Gentoo,51.12,15.21,224.9,2865.0,Chick,Male,Cormorant East,Cormorant,2023-02-05,Underweight,PAPRI20X9,Yes,2023-01-23
,Gentoo,49.25,14.37,220.5,5171.0,Adult,Female,,,2019-12-29,Healthy,PAPRI2019,No,
CHN-0041,Chinstrap,50.14,19.64,199.5,3974.0,Adult,,Biscoe West,Biscoe,2021-01-22,Overweight,PAPRI2021,Yes,2021-01-10
,Chinstrap,53.36,19.54,194.8,2998.0,Juvenile,,Shortcut Point,,2022-12-12,Underweight,,Yes,2022-12-08
,,,19.29,198.9,4020.0,Adult,M,Dream South,Dream,2024-03-28,Healthy,PAPRI2024,Yes,2024-03-28
,Gentoo,48.07,14.86,208.8,5299.0,Adult,,Dream South,torg,,Healthy,PAPRI2023,Yes,2023-09-22
ADE-0034,Adelie,42.84,18.72,191.7,2864.0,Juvenile,,Cormorant East,Cormorant,2020-07-28,Underweight,PAPRI2020,Yes,2020-07-14
ADE-0035,Adelie,38.54,,194.0,3756.0,Adult,,Cormorant East,Cormorant,2022-01-27,Underweight,PAPRI2022,Yes,2022-01-26
,Chinstrap,49.38,19.15,194.7,3392.0,Adult,Female,Torgersen North,,2024-03-08,Healthy,PAPRI2024,Yes,2024-02-23
,Chinstrap,49.24,17.38,204.4,2570.0,Juvenile,,Biscoe West,dreamland,2022-04-06,Underweight,PAPRI2022,Yes,2022-04-06
